66,160,1
0,0,1
0,238,1
75,238,1
90,197,1
15,118,1
114,195,1
85,238,1
210,238,1
210,0,1
138,206,1
139,205,1
140,205,1
141,206,1
140,207,1
139,207,1
134,205,1
135,204,1
137,204,1
138,205,1
137,206,1
135,206,1
132,204,1
133,203,1
134,203,1
135,204,1
134,205,1
133,205,1
110,204,1
111,203,1
112,203,1
113,204,1
112,205,1
111,205,1
129,203,1
130,202,1
132,202,1
133,203,1
132,204,1
130,204,1
106,203,1
107,202,1
108,203,1
107,204,1
127,202,1
128,201,1
129,201,1
130,202,1
129,203,1
128,203,1
124,201,1
125,200,1
127,200,1
128,201,1
127,202,1
125,202,1
111,201,1
112,200,1
113,201,1
112,202,1
122,200,1
123,199,1
124,199,1
125,200,1
124,201,1
123,201,1
109,200,1
110,199,1
111,199,1
112,200,1
111,201,1
110,201,1
87,117,1
88,116,1
90,118,1
90,119,1
92,119,1
95,122,1
94,123,1
92,123,1
91,122,1
89,122,1
87,120,1
87,112,1
88,111,1
89,112,1
89,113,1
88,114,1
87,113,1
89,107,1
90,106,1
91,107,1
91,108,1
90,109,1
89,108,1
87,104,1
88,103,1
89,103,1
90,104,1
90,105,1
89,106,1
135,91,1
137,93,1
137,95,1
136,96,1
135,95,1
135,94,1
134,93,1
134,92,1
135,82,1
136,83,1
136,87,1
135,88,1
134,87,1
134,83,1
113,79,1
114,80,1
114,83,1
115,84,1
115,86,1
117,89,1
117,90,1
114,93,1
113,93,1
112,92,1
112,80,1
111,78,1
112,77,1
113,78,1
113,79,1
112,80,1
111,79,1
111,67,1
112,66,1
113,67,1
113,68,1
112,69,1
111,68,1
111,39,1
112,38,1
113,39,1
112,40,1
110,32,1
111,31,1
112,32,1
112,33,1
111,34,1
110,33,1
79,31,1
82,32,1
84,66,1
88,72,1
86,73,1
90,97,1
92,98,1
89,103,1
87,102,1
85,80,1
83,80,1
81,71,1
111,24,1
112,23,1
113,24,1
112,25,1
112,23,1
113,22,1
114,23,1
113,24,1
